Año,Lenguaje,Enero,Febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
2018,Python,4.68%,5.17%,5.87%,5.80%,5.19%,5.76%,6.36%,6.99%,7.65%,7.19%,7.68%,8.38%
"2018,C++,5.60%,5.73%,6.45%,7.22%,6.32%,8.34%,7.62%,7.74%,7.39%,7.59%,""8,82%"",7.56%"
2018,Java,14.22%,14.99%,14.94%,15.78%,16.38%,15.36%,16.14%,16.88%,17.44%,17.80%,16.75%,15.93%
2018,C,11.04%,11.86%,12.76%,13.59%,14%,14.94%,14.66%,14.97%,15.45%,15.38%,14.40%,14.28%
2018,C#,3.75%,4.45%,5.'7%,5.27%,4.40%,4.31%,3.79%,3.54%,3.30%,3.49%,3.95%,3.45%
2018,JavaScript,2.97%,2.47%,3.47%,3.16%,3.92%,3.49%,2.92%,2.50%,2.83%,2.41%,2.66%,3.06%
2018,Go,1.57%,1.42%,1.44%,1.18%,0.97%,0.88%,0.97%,1%,1.08%,1.25%,1.50%,1.19%
2018,Fortran,0.43%,0.48%,0.46%,0.39%,0.42%,0.32%,0.37%,0.40%,0.42%,0.37%,0.38%,0.48%
2018,Visual Bassic,2.31%,2.18%,1.74%,1.80%,0.91%,1.15%,0.89%,0.92%,0.68%,0.65%,0.85%,0.98%
2018,SQL,2.44%,2.36%,2.69%,2.65%,1.99%,2.34%,2.33%,2.32%,2.06%,2.04%,1.84%,2.18%
